PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.5785785785785785,0.9999999999255695,0.9999999930419283,0.9986203396638883
0.5805805805805806,0.999999999934751,0.9999999939946346,0.9987399085580995
0.5825825825825826,0.9999999999427962,0.9999999948174457,0.9988495643715238
0.5845845845845846,0.9999999999498463,0.9999999955279842,0.9989500831749953
0.5865865865865866,0.9999999999560247,0.9999999961414955,0.999042184872317
0.5885885885885885,0.9999999999614396,0.9999999966711667,0.9991265368114394
0.5905905905905906,0.9999999999661855,0.9999999971284025,0.9992037572081677
0.5925925925925926,0.9999999999703453,0.9999999975230647,0.9992744183876148
0.5945945945945946,0.9999999999739917,0.9999999978636793,0.9993390498489825
0.5965965965965966,0.9999999999771881,0.9999999981576168,0.9993981411595507
0.5985985985985985,0.9999999999799903,0.9999999984112472,0.9994521446839731
0.6006006006006006,0.9999999999824472,0.9999999986300758,0.9995014781551361
0.6026026026026026,0.9999999999846012,0.9999999988188593,0.9995465270929458
0.6046046046046046,0.99999999998649,0.9999999989817073,0.9995876470774517
0.6066066066066066,0.9999999999881463,0.9999999991221697,0.9996251658827332
0.6086086086086087,0.9999999999895988,0.999999999243313,0.9996593854779334
0.6106106106106106,0.9999999999908726,0.9999999993477847,0.9996905839017706
0.6126126126126126,0.9999999999919899,0.9999999994378718,0.9997190170167518
0.6146146146146146,0.9999999999929698,0.9999999995155481,0.9997449201492045
0.6166166166166166,0.9999999999938294,0.9999999995825182,0.9997685096210916
0.6186186186186187,0.9999999999945836,0.9999999996402531,0.9997899841794246
0.6206206206206206,0.9999999999952451,0.9999999996900225,0.9998095263289106
0.6226226226226226,0.9999999999958256,0.9999999997329223,0.9998273035732912
0.6246246246246246,0.9999999999963349,0.9999999997698981,0.9998434695706315
0.6266266266266266,0.9999999999967818,0.9999999998017656,0.9998581652076237
